ParameterM,Module,ParameterC,Channel0,Channel1,Channel2,Channel3
RUN_TIME,10.8534,COUNT_TIME,10.8534,10.8534,   0,   0
 TOTAL_TIME,10.8534,INPUT_COUNT_RATE,1526.33,   0,   0,   0
 EVENT_RATE,1525.88,OUTPUT_COUNT_RATE,1525.88,   0,   0,   0
 PS code version,0x104,FTDT,3.190E-03,0.000E+00,0.000E+00,0.000E+00
 --,0,SFDT*,0.000E+00,0.000E+00,0.000E+00,0.000E+00
 --,0,PASS_PILEUP_RATE*,   0,   0,   0,   0
 --,0,GATE_RATE*,   0,   0,   0,   0
 --,0,GDT*,   0,   0,   0,   0
 reserved,0,reserved,0,0,0,0
 CSROUT,0xBE000404,OOR,0,0,511,511
 SYSTIME,2360030840,ICR,1530,0,0,0
 RUNTIME,2263488848,COUNTTIME,2263488848,2263488848,0,0
 RUNTIME,2,COUNTTIME,2,2,0,0
 TOTALTIME,2263488848,NTRIG,16561,0,0,0
 TOTALTIME,2,NTRIG,0,0,0,0
 NUMEVENTS,16561,FTDT,3190416,0,0,0
 NUMEVENTS,0,FTDT,0,0,0,0
 BHL_EHL,2097152,SFDT*,0,0,0,0
 CHL_FIFILENGTH,2101248,SFDT*,0,0,0,0
 REVISION,0xA9901104,GCOUNT*,0,0,0,0
 SNUM,12,GCOUNT*,0,0,0,0
 T_ADC,54,NOUT,16561,0,0,0
 T_ZYNQ,67,NOUT,0,0,0,0
 reserved,0,GDT*,0,0,0,0
 reserved,0,GDT*,0,0,0,0
 reserved,0,NPPI*,0,0,0,0
 reserved,0,NPPI*,0,0,0,0
 reserved,0,reserved,0,0,0,0
 